Date,Day,Bills Issued ,Footfall ,Qty, Sales ,Conversion Rate,Average Transactional Value,Average Selling Price,Unit Per Transaction
02-05-2026,Saturday,29,33,43," ? 1,62,000.00 ",87.9," ? 5,586.21 "," ? 3,767.44 ",1.48
03-05-2026,Sunday,18,25,36," ? 1,52,000.00 ",72.0," ? 8,444.44 "," ? 4,222.22 ",2.00
04-05-2026,Monday,12,16,16," ? 47,000.00 ",75.0," ? 3,916.67 "," ? 2,937.50 ",1.33
05-05-2026,Tuesday,14,17,22," ? 97,000.00 ",82.4," ? 6,928.57 "," ? 4,409.09 ",1.57
06-05-2026,Wednesday,12,15,22," ? 93,000.00 ",80.0," ? 7,750.00 "," ? 4,227.27 ",1.83
07-05-2026,Thursday,12,15,19," ? 89,000.00 ",80.0," ? 7,416.67 "," ? 4,684.21 ",1.58
08-05-2026,Friday,12,15,19," ? 88,640.00 ",80.0," ? 7,386.67 "," ? 4,665.26 ",1.58
09-05-2026,Saturday,29,34,53," ? 2,81,000.00 ",85.3," ? 9,689.66 "," ? 5,301.89 ",1.83
10-05-2026,Sunday,45,54,63," ? 2,49,000.00 ",83.3," ? 5,533.33 "," ? 3,952.38 ",1.40
11-05-2026,Monday,7,9,9," ? 26,000.00 ",77.8," ? 3,714.29 "," ? 2,888.89 ",1.29
12-05-2026,Tuesday,13,16,19," ? 1,02,660.00 ",81.3," ? 7,896.92 "," ? 5,403.16 ",1.46
13-05-2026,Wednesday,8,10,19," ? 57,920.00 ",80.0," ? 7,240.00 "," ? 3,048.42 ",2.38
